timestamp,bath_temp,sample_temp,laser_intensity
2026-06-26 16:01:45,29.799999,21.059999,0.080090
2026-06-26 16:01:50,29.799999,23.000000,0.082495
2026-06-26 16:01:54,29.700001,24.709999,0.078887
2026-06-26 16:01:58,29.700001,26.500000,0.081293
2026-06-26 16:02:02,29.700001,28.180000,0.081894
2026-06-26 16:02:06,29.600000,29.770000,0.077084
2026-06-26 16:02:11,29.600000,31.299999,0.080090
2026-06-26 16:02:15,29.600000,32.630001,0.078887
2026-06-26 16:02:19,29.600000,34.049999,0.082495
2026-06-26 16:02:23,29.600000,35.419998,0.078887
2026-06-26 16:02:28,29.600000,36.759998,0.080090
2026-06-26 16:02:32,29.600000,37.919998,0.081894
2026-06-26 16:02:36,29.600000,39.180000,0.080090
2026-06-26 16:02:40,29.600000,40.040001,0.080090
2026-06-26 16:02:45,29.600000,39.779999,0.079489
2026-06-26 16:02:49,29.600000,39.849998,0.080090
2026-06-26 16:02:53,29.600000,39.900002,0.086705
2026-06-26 16:02:57,29.600000,39.889999,0.080090
2026-06-26 16:03:02,29.600000,39.910000,0.080691
2026-06-26 16:03:06,29.600000,39.930000,0.081894
2026-06-26 16:03:10,29.600000,39.939999,0.081894
2026-06-26 16:03:14,29.600000,39.950001,0.080691
2026-06-26 16:03:18,29.600000,39.939999,0.080090
2026-06-26 16:03:23,29.600000,39.970001,0.082495
2026-06-26 16:03:27,29.600000,39.959999,0.081293
2026-06-26 16:03:31,29.600000,39.970001,0.084299
2026-06-26 16:03:35,29.600000,39.970001,0.076482
2026-06-26 16:03:40,29.600000,39.990002,0.077685
2026-06-26 16:03:44,29.600000,39.980000,0.081894
2026-06-26 16:03:48,29.600000,39.970001,0.080090
2026-06-26 16:03:52,29.600000,39.990002,0.082495
2026-06-26 16:03:56,29.700001,39.990002,0.077685
2026-06-26 16:04:01,29.700001,39.990002,0.081894
2026-06-26 16:04:05,29.700001,40.009998,0.077685
2026-06-26 16:04:09,29.700001,39.990002,0.080691
2026-06-26 16:04:13,29.700001,39.990002,0.079489
2026-06-26 16:04:18,29.700001,40.000000,0.082495
2026-06-26 16:04:22,29.700001,40.009998,0.086103
2026-06-26 16:04:26,29.700001,40.000000,0.083698
2026-06-26 16:04:30,29.799999,40.000000,0.080691
2026-06-26 16:04:35,29.799999,40.020000,0.083698
2026-06-26 16:04:39,29.799999,40.009998,0.080691
2026-06-26 16:04:43,29.799999,40.000000,0.080090
2026-06-26 16:04:47,29.799999,40.009998,0.078887
2026-06-26 16:04:52,29.799999,40.000000,0.081894
2026-06-26 16:04:56,29.799999,40.020000,0.083097
2026-06-26 16:05:00,29.900000,40.009998,0.080691
2026-06-26 16:05:04,29.900000,40.009998,0.080691
2026-06-26 16:05:08,29.900000,40.000000,0.081293
2026-06-26 16:05:13,29.900000,40.000000,0.081293
2026-06-26 16:05:17,29.900000,40.020000,0.081894
2026-06-26 16:05:21,29.900000,40.000000,0.079489
2026-06-26 16:05:25,29.900000,40.009998,0.079489
2026-06-26 16:05:30,29.900000,40.020000,0.075280
2026-06-26 16:05:34,29.900000,40.000000,0.077084
2026-06-26 16:05:38,29.900000,40.009998,0.078887
2026-06-26 16:05:42,29.900000,40.020000,0.080691
2026-06-26 16:05:46,29.900000,40.009998,0.082495
2026-06-26 16:05:51,29.900000,40.009998,0.083698
2026-06-26 16:05:55,29.900000,40.000000,0.083698
2026-06-26 16:05:59,30.000000,40.020000,0.083698
2026-06-26 16:06:03,30.000000,40.000000,0.081293
2026-06-26 16:06:08,30.000000,40.020000,0.081293
2026-06-26 16:06:12,30.000000,40.000000,0.083097
2026-06-26 16:06:16,30.000000,40.000000,0.082495
2026-06-26 16:06:20,30.000000,40.020000,0.080691
2026-06-26 16:06:24,30.000000,40.009998,0.081894
2026-06-26 16:06:29,30.000000,40.000000,0.079489
2026-06-26 16:06:33,30.000000,40.009998,0.080090
2026-06-26 16:06:37,30.000000,40.000000,0.079489
2026-06-26 16:06:41,30.000000,40.009998,0.082495
2026-06-26 16:06:46,30.000000,40.009998,0.078286
2026-06-26 16:06:50,30.000000,40.000000,0.083097
2026-06-26 16:06:54,30.000000,40.009998,0.076482
2026-06-26 16:06:58,30.000000,40.009998,0.076482
2026-06-26 16:07:03,30.000000,40.000000,0.081293
2026-06-26 16:07:07,30.000000,40.020000,0.083097
